**Grading:** `A` = official + free + machine-readable، `B` = official/free but with delay, manual files, registration, or licensing caveats، `C` = reputable third-party free tier، `D` = marketplace/listing data only.

> **Important for the AI:** `price`, `price_index`, `asking_price`, `transaction_price`, `reference_price`, and `MSRP` are different data types and must never be mixed without explicit conversion/normalization.

### Economic Data Source Registry

| Country            | Code     | Category                   | Preferred Source                                                      | Data Available                                                                                                                          | Access / Format                                                | Free Status / Caveat                                                                                                          | Grade                                                  |
| ------------------ | -------- | -------------------------- | --------------------------------------------------------------------- | --------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------- | ----------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------ |
| **Armenia**        | `am`     | Stocks                     | **Armenia Securities Exchange (AMX)**                                 | Equity market data, listed securities, trading information, market prices                                                               | Web tables, downloadable market data; `Download All` available | Free official data; not a full free real-time professional feed                                                               | **B** ([AMX][1])                                       |
| Armenia            | `am`     | Consumer / Essential Goods | **ArmStatBank – Statistical Committee of Armenia**                    | CPI, price indices, food, services, producer prices and economic statistics                                                             | PxWeb/database downloads                                       | Free official statistical database                                                                                            | **A** ([Armenian Statistical Committee][2])            |
| Armenia            | `am`     | Property                   | **Cadastre Committee of Armenia + ArmStatBank**                       | Real-estate transactions, market reports, transaction counts, price indicators                                                          | Official reports + PxWeb tables                                | Free official data; granularity depends on table/report                                                                       | **A/B** ([Cadastre][3])                                |
| Armenia            | `am`     | Vehicles                   | **List.am**                                                           | Used/new vehicle listing prices, make, model, year, mileage, specifications                                                             | Website/listings                                               | Treat values as **asking prices**, not transactions. Automated extraction only if permitted by site terms                     | **D**                                                  |
| **Azerbaijan**     | `az`     | Stocks                     | **Baku Stock Exchange (BSE/BFB)**                                     | Securities, trading results, issuers, market activity                                                                                   | Official web/dashboard                                         | Free public information; no stable general-purpose public API should be assumed                                               | **B** ([Baku Stock Exchange][4])                       |
| Azerbaijan         | `az`     | Capital Market Statistics  | **Central Bank of Azerbaijan**                                        | Securities-market aggregates and capital-market statistics                                                                              | Official statistical tables/downloads                          | Free official                                                                                                                 | **A/B** ([Central Bank of Azerbaijan][5])              |
| Azerbaijan         | `az`     | Consumer / Essential Goods | **State Statistical Committee of Azerbaijan**                         | CPI, average consumer prices, producer prices, regional price indicators                                                                | Official tables/downloads                                      | Free official                                                                                                                 | **A/B** ([Statistika Komitəsi][6])                     |
| Azerbaijan         | `az`     | Property                   | **State Statistical Committee of Azerbaijan**                         | Housing-market price indices and related residential indicators                                                                         | Official statistical tables                                    | Free; generally index/aggregate data rather than individual transactions                                                      | **A/B** ([Statistika Komitəsi][7])                     |
| Azerbaijan         | `az`     | Vehicles                   | **Turbo.az**                                                          | Make/model/year/mileage and advertised vehicle prices                                                                                   | Website/listings                                               | **Asking price only**; do not treat as executed sale price                                                                    | **D**                                                  |
| **Belgium**        | `be`     | Stocks                     | **Euronext Brussels – MiFID II Delayed Data**                         | Pre/post-trade equity data, prices, trades                                                                                              | CSV/download                                                   | Free delayed data; generally up to ~15-minute delay. Redistribution/licensing restrictions must be checked                    | **B** ([Euronext][8])                                  |
| Belgium            | `be`     | Consumer / Essential Goods | **Statbel + Eurostat**                                                | CPI/HICP, inflation by category, food, energy, housing and services                                                                     | Open data + CSV; Eurostat REST/SDMX                            | Free official open data                                                                                                       | **A** ([Statbel][9])                                   |
| Belgium            | `be`     | Property                   | **Statbel Real Estate**                                               | Median property prices, houses/apartments, sales, municipality/province/region                                                          | TXT/ZIP/XLSX/open-data tables                                  | Free official                                                                                                                 | **A** ([Statbel][10])                                  |
| Belgium            | `be`     | Vehicles                   | **AutoScout24 Belgium / 2dehands**                                    | Used/new vehicle advertisements and asking prices                                                                                       | Website/listings                                               | Marketplace data only                                                                                                         | **D**                                                  |
| **Brazil**         | `br`     | Stocks                     | **B3 – Brasil, Bolsa, Balcão**                                        | OHLC, last price, volume, turnover, trades, securities, indices, instrument reference data                                              | Daily downloadable files; historical ZIP/text files            | Free official EOD/historical data                                                                                             | **A** ([B3][11])                                       |
| Brazil             | `br`     | Consumer / Essential Goods | **IBGE SIDRA – IPCA**                                                 | CPI, inflation, weights by group/subgroup/item/subitem, food, housing, transport etc.                                                   | SIDRA API + downloadable tables                                | Free official                                                                                                                 | **A**                                                  |
| Brazil             | `br`     | Property                   | **Banco Central do Brasil – IVG-R**                                   | Residential Real Estate Collateral Value Index                                                                                          | SGS time-series; JSON/CSV and other formats                    | Free official; **index**, not individual property transaction prices                                                          | **A** ([Banco Central do Brasil Open Data Portal][12]) |
